"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"Liga Tlaxtli FC Guerreros B02",1355,13.3,3.51,27,"WA","","PSPL Classic 1 West U15","Spr PSPL SuperLeague U15",""
"Seattle United W Blue B02",1352,7.79,5.88,28,"WA","Seattle","NPSL Div 1 (02) U15","","Founders Cup B02 Div A"
"PCU Red B02",1349,8.65,5.2,17,"OR","Portland","","Win OYS B02 Premier White","OYS Founders Cup B02, OYS State Cup B02"
"Seattle United S Blue B02",1346,8.62,5.09,28,"WA","Seattle","NPSL Div 1 (02) U15","","Founders Cup B02 Div A"
"Academia Leon B02",1327,6.67,5.76,33,"OR","Beaverton","PTT B02 Div 1 White","Win OYS B02 Div 1 Orange","OYS Presidents Cup B02"
"Central WA SA White B02",1318,9.84,3.69,21,"WA","Yakima","PSPL Classic 1 East U15","Spr PSPL Classic U15",""
"FWFC Blue B02",1318,7.17,5.04,30,"WA","Federal Way","RCL B02 Div 3","","WYS Presidents Cup B02 Div 2"
"ETFC Dortmund Black B02",1315,8.38,4.24,38,"OR","Eugene","PTT B02 Div 1 Green","Win OYS B02 Premier Green","OYS State Cup B02"
"THUSC Thorium B02",1313,9.27,3.77,10,"OR","Beaverton","","Win OYS B02 Div 1 Orange",""
"PacNW White B02",1308,9.97,3.39,40,"WA","Tukwila","RCL B02 Div 3","","WYS Presidents Cup B02 Div 2"
"ISC Gunners A B02",1301,7.83,4.11,42,"WA","Issaquah","PSPL WSPL 2 U15","Spr PSPL SuperLeague U15","NWCL 02, WA Cup HS Gold U15"
"Wenatchee Valley United Sounders B02",1300,9.08,3.53,21,"WA","Wenatchee","PSPL Classic 1 East U15","","WA Cup HS Silver U15"
"FC Nova Gold B02",1288,8.35,3.54,26,"ID","Boise","Idaho D3 U14/U15 Div 1 U15","Spr Idaho D3 U15/16 Div 1","ID State Cup U15"
"Boise Nationals Timbers Red B02",1287,9.22,3.18,17,"ID","Boise","","Spr Idaho D3 U15/16 Div 1","ID State Cup U15"
"GPS Newberg B02",1287,8.8,3.33,27,"OR","","PTT B02 Div 1 White","Win OYS B02 Premier White","OYS Presidents Cup B02"
"Mercer Island FC Heat B02",1284,6.31,4.53,15,"WA","Mercer Island","NPSL Div 3 (02) U15","",""
"Storm King B02",1278,11.41,2.41,16,"WA","Port Angeles","NPSL Div 2 (02) U15","","Founders Cup B02 Div A"
"TFA Williamette Crew B02",1277,9.05,3.01,17,"OR","","","Win OYS B02 Div 1 Orange","OYS State Cup B02"
"Wenatchee Valley United Quincy B02",1274,10.71,2.49,18,"WA","Quincy","PSPL-Inland Copa 2 U15","Spr PSPL-Inland Copa 1 U15",""
"Twin Falls Rapids B02",1270,7.25,3.57,17,"ID","Twin Falls","","Spr Idaho D3 U15/16 Div 2 South","ID State Cup U15"
