"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"Westside Timbers Copa TS G04",1253,4.62,5.01,43,"OR","Beaverton","PTT G04 Premier","Spr OYS G04 Premier Red","FWRL04, NWCL 04, OYS State Cup G04"
"FC Nova Gold GK G04",1248,7.92,2.82,17,"ID","Boise","Idaho D3 U13G Div 1 U13, Idaho D3 U14G Div 1 U14","Spr Idaho D3 U13/14 Div 1","NWCL 04"
"FWFC Blue G04",1248,5.37,4.16,37,"WA","Federal Way","RCL G04 Div 2","Win RCL G04 Div 1","WYS Championship G04"
"WA Rush G04",1242,4.45,4.82,33,"WA","Everett","RCL G04 Div 2","Win RCL G04 Div 2","WYS Presidents Cup G04 Div 1"
"PacNW Blue G04",1235,5.76,3.54,42,"WA","Tukwila","RCL G04 Div 3","Win RCL G04 Div 2","WYS Presidents Cup G04 Div 1"
"ASE Emerald G04",1221,5.21,3.56,28,"WA","Pasco","PSPL WSPL 1 U13","Spr PSPL SuperLeague U13","NWCL 04, WA Cup U13 Gold U13"
"ISC Gunners A G04",1211,4.34,3.97,47,"WA","Issaquah","PSPL WSPL 1 U13","Spr PSPL SuperLeague U13","NWCL 04"
"Crossfire Premier C G04",1207,3.11,5.41,48,"WA","Redmond","RCL G04 Div 3","Win RCL G04 Div 3","WYS Presidents Cup G04 Div 1"
"MVP Marauders Navy G04",1185,3.28,4.4,37,"WA","Maple Valley","PSPL WSPL 2 U13","Spr PSPL SuperLeague U13","WA Cup U13 Gold U13"
"NW United Black G04",1184,5.32,2.7,40,"WA","Burlington","RCL G04 Div 2","Win RCL G04 Div 2","WYS Presidents Cup G04 Div 1"
"Crossfire Premier B G04",1173,4,3.32,34,"WA","Redmond","RCL G04 Div 1","Win RCL G04 Div 2","WYS Presidents Cup G04 Div 1"
"PCU Red 1 G04",1168,3.65,3.5,36,"OR","Portland","PTT G04 Premier","Spr OYS G04 Premier Red","NWCL 04, OYS State Cup G04"
